link,link_part,fl,ascents_per_day,ascents,last_dt,first_dt,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,lat,lon
64,"<a href=""https://www.8a.nu/crags/sportclimbing/italy/cala-mancina"" target=""_blank"">italy/cala-mancina</a>",italy/cala-mancina,🇮🇹,3.5956284153005464,1316,2024-12-31 12:00:00,2024-01-02 12:00:00,13.5,11.799999999999999,17.8,6.2,3.4000000000000004,0.7000000000000001,0.1,0.2,4.0,13.8,17.9,10.7,38.175683,12.717113
65,"<a href=""https://www.8a.nu/crags/sportclimbing/greece/twin-caves"" target=""_blank"">greece/twin-caves</a>",greece/twin-caves,🇬🇷,3.587431693989071,1313,2024-12-31 12:00:00,2024-01-01 12:00:00,18.7,11.1,10.9,7.199999999999999,3.6999999999999997,0.0,0.5,0.0,0.8999999999999999,7.199999999999999,21.2,18.5,37.176153,22.83956
66,"<a href=""https://www.8a.nu/crags/sportclimbing/poland/gora-birow"" target=""_blank"">poland/gora-birow</a>",poland/gora-birow,🇵🇱,3.5355191256830603,1294,2024-12-26 12:00:00,2024-02-04 12:00:00,0.0,0.4,2.9000000000000004,14.7,20.200000000000003,16.8,12.1,16.8,9.1,6.4,0.2,0.5,50.46419,19.55148
67,"<a href=""https://www.8a.nu/crags/sportclimbing/poland/koloczek"" target=""_blank"">poland/koloczek</a>",poland/koloczek,🇵🇱,3.5081967213114753,1284,2024-12-19 12:00:00,2024-02-16 12:00:00,0.0,0.5,9.700000000000001,12.2,24.8,14.099999999999998,9.1,14.299999999999999,7.3999999999999995,7.000000000000001,0.7000000000000001,0.1,50.577768,19.530902
68,"<a href=""https://www.8a.nu/crags/sportclimbing/spain/paules"" target=""_blank"">spain/paules</a>",spain/paules,🇪🇸,3.459016393442623,1266,2024-12-24 12:00:00,2024-01-01 12:00:00,2.0,0.4,4.7,14.2,13.600000000000001,20.8,11.799999999999999,10.5,11.1,5.5,5.1,0.4,40.07795,-2.123307
69,"<a href=""https://www.8a.nu/crags/sportclimbing/poland/morsko"" target=""_blank"">poland/morsko</a>",poland/morsko,🇵🇱,3.4098360655737703,1248,2024-12-01 12:00:00,2024-03-15 12:00:00,0.0,0.0,0.8,1.5,21.3,18.7,20.5,21.3,10.299999999999999,4.6,0.5,0.5,50.54796,19.51507
70,"<a href=""https://www.8a.nu/crags/sportclimbing/poland/gora-zborow"" target=""_blank"">poland/gora-zborow</a>",poland/gora-zborow,🇵🇱,3.3688524590163933,1233,2024-12-26 12:00:00,2024-02-15 12:00:00,0.0,2.4,10.299999999999999,14.6,20.200000000000003,11.1,12.8,13.100000000000001,8.3,5.800000000000001,1.2,0.2,50.572657,19.530285
71,"<a href=""https://www.8a.nu/crags/sportclimbing/spain/les-perxes"" target=""_blank"">spain/les-perxes</a>",spain/les-perxes,🇪🇸,3.3060109289617485,1210,2024-12-31 12:00:00,2024-01-01 12:00:00,5.0,5.5,12.6,11.200000000000001,10.6,7.3999999999999995,2.3,2.6,7.3,8.9,11.3,15.299999999999999,39.777387,2.899257
72,"<a href=""https://www.8a.nu/crags/sportclimbing/spain/sunyer"" target=""_blank"">spain/sunyer</a>",spain/sunyer,🇪🇸,3.289617486338798,1204,2024-12-31 12:00:00,2024-01-01 12:00:00,5.1,8.4,8.6,8.1,7.6,15.299999999999999,9.9,5.7,8.1,6.1,7.3,9.700000000000001,41.758396,2.231409
73,"<a href=""https://www.8a.nu/crags/sportclimbing/france/seynes"" target=""_blank"">france/seynes</a>",france/seynes,🇫🇷,3.2841530054644807,1202,2024-12-31 12:00:00,2024-01-01 12:00:00,22.900000000000002,14.499999999999998,8.4,4.0,1.6,0.2,0.1,0.1,1.5,2.6,7.7,36.6,44.11612,4.28407
